Sample in Buffer,Sample in Window,TRIGGER,i_tdc/i_tdc_core/encoder/position_out[6:0],i_tdc/i_tdc_core/selected_sample[95:0],i_tdc/i_tdc_core/tdc_state_delayed[3:0],i_tdc/i_tdc_core/tdc_state[3:0],i_tdc/i_tdc_core/fine_time_delayed[1:0],i_tdc/i_tdc_core/input_mux_addr[1:0],i_tdc/i_tdc_core/hit_status[1:0],i_tdc/i_tdc_core/fine_time[1:0],i_tdc/i_tdc_core/corse_time_delayed[15:0],i_tdc/sig_in_IBUF,i_tdc/i_tdc_core/tdl_input,i_tdc/i_tdc_core/trig_in_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
94,94,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
95,95,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
96,96,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
97,97,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
98,98,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
99,99,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
100,100,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
101,101,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111,8,8,1,3,1,0,0000,0,1,0
102,102,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
103,103,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
104,104,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
105,105,0,03,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
106,106,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
107,107,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
108,108,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
109,109,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
110,110,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
111,111,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000,8,8,1,3,0,1,0000,0,0,0
112,112,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
113,113,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
114,114,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
115,115,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
116,116,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
117,117,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
118,118,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
119,119,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
120,120,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
121,121,0,00,000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111,8,8,1,3,1,2,0000,0,1,0
122,122,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
123,123,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
124,124,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
125,125,0,36,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,2,3,0,1,0000,0,1,0
126,126,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
127,127,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
128,128,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
129,129,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
130,130,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
131,131,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
132,132,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
133,133,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
134,134,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
135,135,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
136,136,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
137,137,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
138,138,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
139,139,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
140,140,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
141,141,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
142,142,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111,8,8,1,3,1,0,0000,0,1,0
143,143,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
144,144,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
145,145,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
146,146,0,0d,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
147,147,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
148,148,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
149,149,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
150,150,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
151,151,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
152,152,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111100000000000000000000000,8,8,1,3,0,1,0000,0,0,0
153,153,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
154,154,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
155,155,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
156,156,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
157,157,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
158,158,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
159,159,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
160,160,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
161,161,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
162,162,0,00,000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,1,2,0000,0,1,0
163,163,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
164,164,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
165,165,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
166,166,0,40,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,2,3,0,1,0000,0,1,0
167,167,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
168,168,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
169,169,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
170,170,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
171,171,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
172,172,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
173,173,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
174,174,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
175,175,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
176,176,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
